file,accuracy,f1_score,recall,precision
20_newsgroups_cohere_entropy_cohere_entropy_80_temp0_exp1.csv,0.4765625,0.32195656319798077,0.33097501785316247,0.40649648818041767
ag_news_cohere_entropy_cohere_entropy_80_temp0_exp1.csv,0.8478260869565217,0.8360415991185509,0.8359769129961023,0.8629588113006557
yahoo_cohere_entropy_cohere_entropy_60_temp0_exp1.csv,0.6829787234042554,0.40647919755076567,0.4016867200401792,0.43952678041550375
go_emotions_cohere_entropy_cohere_entropy_96_temp0_exp1.csv,0.33278508771929827,0.19659182936309255,0.190695165589789,0.2643112110919284
social_media_cohere_entropy_cohere_entropy_60_temp0_exp1.csv,0.4352589641434263,0.44274082839994056,0.5510673073779869,0.5242207072008291
sst5_cohere_entropy_cohere_entropy_60_temp0_exp1.csv,0.4925531914893617,0.4807475942403328,0.4960493014069923,0.5245678362544772
sst5_llama3_entropy_llama3_entropy_60_temp0_exp1.csv,0.5904255319148937,0.5833830387302574,0.5847062898369998,0.6097598698315522
20_newsgroups_llama3_entropy_llama3_entropy_80_temp0_exp1.csv,0.7317708333333334,0.6369992913794039,0.6385132872472947,0.6695816263068842
go_emotions_llama3_entropy_llama3_entropy_96_temp0_exp1.csv,0.3393640350877193,0.20576477703285034,0.19846163244154733,0.2766164560204257
social_media_llama3_entropy_llama3_entropy_60_temp0_exp1.csv,0.49154228855721394,0.4690751102821447,0.5509079610521537,0.5665020462291311
ag_news_llama3_entropy_llama3_entropy_80_temp0_exp1.csv,0.9119565217391304,0.9090900018643635,0.9088038939629769,0.911354704548062
yahoo_llama3_entropy_llama3_entropy_60_temp0_exp1.csv,0.7106382978723405,0.6999024517404621,0.7099207362961095,0.7301438515154004
social_media_gpt4omini_entropy_gpt4omini_entropy_60_temp0_exp2.csv,0.414,0.4103864165170979,0.5230475153608389,0.5559074350057956
go_emotions_gpt4omini_entropy_gpt4omini_entropy_96_temp0_exp1.csv,0.35855263157894735,0.3608849356082442,0.3456166321120534,0.44051951761459895
ag_news_gpt4omini_entropy_gpt4omini_entropy_80_temp0_exp1.csv,0.8869565217391304,0.8817698483925531,0.8815592903828198,0.894609475086557
sst5_gpt4omini_entropy_gpt4omini_entropy_60_temp0_exp1.csv,0.5553191489361702,0.554986145707173,0.5542265041462809,0.5899113879385729
20_newsgroups_gpt4omini_entropy_gpt4omini_entropy_80_temp0_exp1.csv,0.7180156657963447,0.6888047673368759,0.68423502116105,0.7186947518052522
social_media_gpt4omini_entropy_gpt4omini_entropy_60_temp0_exp1.csv,0.414,0.41075945558778604,0.5186902471252789,0.5548152416638173
yahoo_gpt4omini_entropy_gpt4omini_entropy_60_temp0_exp1.csv,0.7106382978723405,0.5863769028887431,0.5896699272843438,0.5995257768958603
